State	Filed week ended	Initial Claims	Reflecting Week Ended	Continued Claims	Covered Employment	Insured Unemployment Rate
New York	05/09/2020	199,419	05/02/2020	1,846,154	9,408,510	19.62
New York	05/16/2020	223,962	05/09/2020	1,873,935	9,408,510	19.92
New York	05/23/2020	189,087	05/16/2020	1,811,012	9,408,510	19.25
New York	05/30/2020	81,926	05/23/2020	1,756,703	9,408,510	18.67
New York	06/06/2020	93,799	05/30/2020	1,694,809	9,408,510	18.01
New York	06/13/2020	95,150	06/06/2020	1,677,037	9,408,510	17.82
New York	06/20/2020	89,031	06/13/2020	1,649,863	9,408,510	17.54
New York	06/27/2020	89,834	06/20/2020	1,611,991	9,408,510	17.13
New York	07/04/2020	93,740	06/27/2020	1,598,667	9,408,510	16.99
New York	07/11/2020	91,546	07/04/2020	1,520,832	9,429,172	16.13
Ohio	01/04/2020	10,759	12/28/2019	73,287	5,327,431	1.38
Ohio	01/11/2020	9,957	01/04/2020	78,391	5,338,723	1.47
Ohio	01/18/2020	7,865	01/11/2020	72,855	5,338,723	1.36
Ohio	01/25/2020	8,086	01/18/2020	72,002	5,338,723	1.35
Ohio	02/01/2020	7,329	01/25/2020	72,622	5,338,723	1.36
Ohio	02/08/2020	6,825	02/01/2020	71,442	5,338,723	1.34
Ohio	02/15/2020	6,532	02/08/2020	71,214	5,338,723	1.33
Ohio	02/22/2020	6,208	02/15/2020	70,924	5,338,723	1.33
Ohio	02/29/2020	9,916	02/22/2020	70,655	5,338,723	1.32
Ohio	03/07/2020	6,545	02/29/2020	73,123	5,338,723	1.37
Ohio	03/14/2020	7,046	03/07/2020	68,516	5,338,723	1.28
Ohio	03/21/2020	196,309	03/14/2020	68,323	5,338,723	1.28
Ohio	03/28/2020	274,288	03/21/2020	214,273	5,338,723	4.01
Ohio	04/04/2020	226,191	03/28/2020	450,061	5,338,723	8.43
Ohio	04/11/2020	159,317	04/04/2020	622,669	5,346,565	11.65
Ohio	04/18/2020	109,830	04/11/2020	717,842	5,346,565	13.43
Ohio	04/25/2020	93,599	04/18/2020	777,214	5,346,565	14.54
Ohio	05/02/2020	61,487	04/25/2020	759,435	5,346,565	14.20
Ohio	05/09/2020	52,255	05/02/2020	745,886	5,346,565	13.95
Ohio	05/16/2020	46,862	05/09/2020	704,784	5,346,565	13.18
Ohio	05/23/2020	42,585	05/16/2020	636,869	5,346,565	11.91
Ohio	05/30/2020	35,078	05/23/2020	566,546	5,346,565	10.60
Ohio	06/06/2020	36,154	05/30/2020	533,347	5,346,565	9.98
Ohio	06/13/2020	33,139	06/06/2020	492,958	5,346,565	9.22
Ohio	06/20/2020	34,926	06/13/2020	466,363	5,346,565	8.72
Ohio	06/27/2020	35,908	06/20/2020	448,112	5,346,565	8.38
Ohio	07/04/2020	33,830	06/27/2020	433,867	5,346,565	8.11
Ohio	07/11/2020	35,755	07/04/2020	434,257	5,346,565	8.12
Oklahoma	01/04/2020	2,943	12/28/2019	18,080	1,560,077	1.16
Oklahoma	01/11/2020	2,034	01/04/2020	19,387	1,565,634	1.24
Oklahoma	01/18/2020	1,981	01/11/2020	17,467	1,565,634	1.12
Oklahoma	01/25/2020	1,830	01/18/2020	17,291	1,565,634	1.10
Oklahoma	02/01/2020	1,779	01/25/2020	17,451	1,565,634	1.11
Oklahoma	02/08/2020	1,715	02/01/2020	17,757	1,565,634	1.13
Oklahoma	02/15/2020	1,633	02/08/2020	17,513	1,565,634	1.12
Oklahoma	02/22/2020	1,509	02/15/2020	17,269	1,565,634	1.10
Oklahoma	02/29/2020	1,458	02/22/2020	16,929	1,565,634	1.08
Oklahoma	03/07/2020	1,569	02/29/2020	17,067	1,565,634	1.09
Oklahoma	03/14/2020	1,836	03/07/2020	16,482	1,565,634	1.05
Oklahoma	03/21/2020	21,926	03/14/2020	16,854	1,565,634	1.08
Oklahoma	03/28/2020	47,744	03/21/2020	25,268	1,565,634	1.61
Oklahoma	04/04/2020	60,534	03/28/2020	55,029	1,565,634	3.51
Oklahoma	04/11/2020	54,481	04/04/2020	88,330	1,568,967	5.63
Oklahoma	04/18/2020	46,696	04/11/2020	112,311	1,568,967	7.16
Oklahoma	04/25/2020	52,500	04/18/2020	134,550	1,568,967	8.58
Oklahoma	05/02/2020	93,885	04/25/2020	154,671	1,568,967	9.86
Oklahoma	05/09/2020	39,079	05/02/2020	178,122	1,568,967	11.35
Oklahoma	05/16/2020	33,440	05/09/2020	135,229	1,568,967	8.62
Oklahoma	05/23/2020	43,714	05/16/2020	139,196	1,568,967	8.87
Oklahoma	05/30/2020	60,376	05/23/2020	172,309	1,568,967	10.98
Oklahoma	06/06/2020	77,525	05/30/2020	156,795	1,568,967	9.99
Oklahoma	06/13/2020	84,779	06/06/2020	173,361	1,568,967	11.05
Oklahoma	06/20/2020	58,613	06/13/2020	182,191	1,568,967	11.61
Oklahoma	06/27/2020	18,405	06/20/2020	165,298	1,568,967	10.54
Oklahoma	07/04/2020	9,423	06/27/2020	131,034	1,568,967	8.35
Oklahoma	07/11/2020	9,680	07/04/2020	131,932	1,570,740	8.40
Oregon	01/04/2020	6,714	12/28/2019	35,451	1,898,680	1.87
Oregon	01/11/2020	6,215	01/04/2020	36,039	1,906,429	1.89
Oregon	01/18/2020	4,051	01/11/2020	31,604	1,906,429	1.66
Oregon	01/25/2020	4,457	01/18/2020	32,306	1,906,429	1.69
Oregon	02/01/2020	4,853	01/25/2020	31,876	1,906,429	1.67
Oregon	02/08/2020	4,953	02/01/2020	31,658	1,906,429	1.66
Oregon	02/15/2020	4,284	02/08/2020	31,167	1,906,429	1.63
Oregon	02/22/2020	3,514	02/15/2020	30,548	1,906,429	1.60
Oregon	02/29/2020	3,936	02/22/2020	30,165	1,906,429	1.58
Oregon	03/07/2020	4,154	02/29/2020	29,517	1,906,429	1.55
Oregon	03/14/2020	4,269	03/07/2020	29,002	1,906,429	1.52
Oregon	03/21/2020	30,054	03/14/2020	30,523	1,906,429	1.60
Oregon	03/28/2020	47,498	03/21/2020	63,930	1,906,429	3.35
Oregon	04/04/2020	62,788	03/28/2020	118,729	1,906,429	6.23
Oregon	04/11/2020	54,581	04/04/2020	176,154	1,914,153	9.20
Oregon	04/18/2020	37,209	04/11/2020	217,039	1,914,153	11.34
Oregon	04/25/2020	49,300	04/18/2020	284,486	1,914,153	14.86
Oregon	05/02/2020	48,120	04/25/2020	308,989	1,914,153	16.14
Oregon	05/09/2020	33,936	05/02/2020	309,543	1,914,153	16.17
Oregon	05/16/2020	23,539	05/09/2020	290,151	1,914,153	15.16
Oregon	05/23/2020	28,452	05/16/2020	293,081	1,914,153	15.31
Oregon	05/30/2020	20,565	05/23/2020	256,759	1,914,153	13.41
Oregon	06/06/2020	24,508	05/30/2020	275,768	1,914,153	14.41
Oregon	06/13/2020	24,645	06/06/2020	251,869	1,914,153	13.16
Oregon	06/20/2020	16,274	06/13/2020	224,476	1,914,153	11.73
Oregon	06/27/2020	11,195	06/20/2020	216,513	1,914,153	11.31
Oregon	07/04/2020	10,343	06/27/2020	203,600	1,914,153	10.64
Oregon	07/11/2020	11,713	07/04/2020	206,756	1,921,964	10.76
Pennsylvania	01/04/2020	27,298	12/28/2019	135,411	5,787,653	2.34
Pennsylvania	01/11/2020	26,356	01/04/2020	163,882	5,800,562	2.83
Pennsylvania	01/18/2020	16,218	01/11/2020	142,326	5,800,562	2.45
Pennsylvania	01/25/2020	13,359	01/18/2020	140,027	5,800,562	2.41
Pennsylvania	02/01/2020	15,893	01/25/2020	135,951	5,800,562	2.34
Pennsylvania	02/08/2020	14,425	02/01/2020	142,004	5,800,562	2.45
Pennsylvania	02/15/2020	13,583	02/08/2020	136,149	5,800,562	2.35
Pennsylvania	02/22/2020	12,631	02/15/2020	142,306	5,800,562	2.45
Pennsylvania	02/29/2020	12,045	02/22/2020	135,095	5,800,562	2.33
Pennsylvania	03/07/2020	12,227	02/29/2020	136,931	5,800,562	2.36
Pennsylvania	03/14/2020	15,439	03/07/2020	128,842	5,800,562	2.22
Pennsylvania	03/21/2020	363,000	03/14/2020	128,029	5,800,562	2.21
Pennsylvania	03/28/2020	374,056	03/21/2020	135,708	5,800,562	2.34
Pennsylvania	04/04/2020	239,077	03/28/2020	566,464	5,800,562	9.77
Pennsylvania	04/11/2020	234,868	04/04/2020	614,196	5,814,461	10.56
Pennsylvania	04/18/2020	124,633	04/11/2020	1,074,660	5,814,461	18.48
Pennsylvania	04/25/2020	82,414	04/18/2020	915,249	5,814,461	15.74
Pennsylvania	05/02/2020	94,445	04/25/2020	1,233,299	5,814,461	21.21
Pennsylvania	05/09/2020	73,688	05/02/2020	1,049,464	5,814,461	18.05
Pennsylvania	05/16/2020	41,673	05/09/2020	1,008,886	5,814,461	17.35
Pennsylvania	05/23/2020	55,374	05/16/2020	907,252	5,814,461	15.60
Pennsylvania	05/30/2020	42,266	05/23/2020	1,019,571	5,814,461	17.54
Pennsylvania	06/06/2020	45,049	05/30/2020	846,788	5,814,461	14.56
Pennsylvania	06/13/2020	44,341	06/06/2020	913,810	5,814,461	15.72
Pennsylvania	06/20/2020	42,577	06/13/2020	748,874	5,814,461	12.88
Pennsylvania	06/27/2020	45,261	06/20/2020	809,609	5,814,461	13.92
Pennsylvania	07/04/2020	44,086	06/27/2020	651,160	5,814,461	11.20
Pennsylvania	07/11/2020	44,798	07/04/2020	815,282	5,827,122	13.99
Puerto Rico	01/04/2020	853	12/28/2019	17,194	848,044	2.03
Puerto Rico	01/11/2020	836	01/04/2020	15,746	852,292	1.85
Puerto Rico	01/18/2020	3,124	01/11/2020	22,291	852,292	2.62
Puerto Rico	01/25/2020	2,335	01/18/2020	22,725	852,292	2.67
Puerto Rico	02/01/2020	1,998	01/25/2020	23,857	852,292	2.80
Puerto Rico	02/08/2020	1,770	02/01/2020	23,157	852,292	2.72
Puerto Rico	02/15/2020	1,588	02/08/2020	21,114	852,292	2.48
Puerto Rico	02/22/2020	1,390	02/15/2020	20,765	852,292	2.44
Puerto Rico	02/29/2020	1,296	02/22/2020	19,480	852,292	2.29
Puerto Rico	03/07/2020	1,343	02/29/2020	18,657	852,292	2.19
Puerto Rico	03/14/2020	1,172	03/07/2020	18,704	852,292	2.19
Puerto Rico	03/21/2020	20,148	03/14/2020	15,239	852,292	1.79
Puerto Rico	03/28/2020	45,394	03/21/2020	19,230	852,292	2.26
Puerto Rico	04/04/2020	66,555	03/28/2020	49,669	852,292	5.83
Puerto Rico	04/11/2020	42,074	04/04/2020	86,474	856,124	10.10
Puerto Rico	04/18/2020	26,481	04/11/2020	109,672	856,124	12.81
Puerto Rico	04/25/2020	17,286	04/18/2020	153,421	856,124	17.92
Puerto Rico	05/02/2020	21,886	04/25/2020	145,140	856,124	16.95
Puerto Rico	05/09/2020	15,067	05/02/2020	164,034	856,124	19.16
Puerto Rico	05/16/2020	10,923	05/09/2020	152,823	856,124	17.85
Puerto Rico	05/23/2020	13,521	05/16/2020	194,272	856,124	22.69
Puerto Rico	05/30/2020	7,236	05/23/2020	162,538	856,124	18.99
Puerto Rico	06/06/2020	8,820	05/30/2020	180,722	856,124	21.11
Puerto Rico	06/13/2020	8,097	06/06/2020	175,974	856,124	20.55
Puerto Rico	06/20/2020	9,160	06/13/2020	196,503	856,124	22.95
Puerto Rico	06/27/2020	10,228	06/20/2020	217,712	856,124	25.43
Puerto Rico	07/04/2020	11,257	06/27/2020	229,039	856,124	26.75
Puerto Rico	07/11/2020	7,945	07/04/2020	223,340	859,886	25.97
Rhode Island	01/04/2020	1,972	12/28/2019	12,109	471,911	2.57
Rhode Island	01/11/2020	1,817	01/04/2020	12,299	472,874	2.60
Rhode Island	01/18/2020	1,194	01/11/2020	10,987	472,874	2.32
Rhode Island	01/25/2020	1,048	01/18/2020	10,750	472,874	2.27
Rhode Island	02/01/2020	971	01/25/2020	11,042	472,874	2.34
Rhode Island	02/08/2020	959	02/01/2020	11,051	472,874	2.34
Rhode Island	02/15/2020	996	02/08/2020	11,164	472,874	2.36
Rhode Island	02/22/2020	1,921	02/15/2020	11,199	472,874	2.37
Rhode Island	02/29/2020	874	02/22/2020	12,384	472,874	2.62
Rhode Island	03/07/2020	700	02/29/2020	11,130	472,874	2.35
Rhode Island	03/14/2020	1,108	03/07/2020	10,692	472,874	2.26
Rhode Island	03/21/2020	35,847	03/14/2020	10,857	472,874	2.30
Rhode Island	03/28/2020	27,800	03/21/2020	31,847	472,874	6.73
Rhode Island	04/04/2020	28,243	03/28/2020	56,038	472,874	11.85
Rhode Island	04/11/2020	22,509	04/04/2020	70,935	473,597	14.98
Rhode Island	04/18/2020	18,078	04/11/2020	79,140	473,597	16.71
Rhode Island	04/25/2020	13,084	04/18/2020	96,663	473,597	20.41
Rhode Island	05/02/2020	9,088	04/25/2020	97,573	473,597	20.60
Rhode Island	05/09/2020	6,245	05/02/2020	94,083	473,597	19.87
Rhode Island	05/16/2020	3,883	05/09/2020	89,247	473,597	18.84
Rhode Island	05/23/2020	2,937	05/16/2020	87,966	473,597	18.57
Rhode Island	05/30/2020	2,748	05/23/2020	78,496	473,597	16.57
Rhode Island	06/06/2020	3,518	05/30/2020	76,946	473,597	16.25
Rhode Island	06/13/2020	2,641	06/06/2020	73,083	473,597	15.43
Rhode Island	06/20/2020	4,014	06/13/2020	69,236	473,597	14.62
Rhode Island	06/27/2020	3,229	06/20/2020	67,100	473,597	14.17
Rhode Island	07/04/2020	3,436	06/27/2020	66,304	473,597	14.00
Rhode Island	07/11/2020	3,133	07/04/2020	65,377	474,428	13.78
South Carolina	01/04/2020	7,471	12/28/2019	18,922	2,070,232	0.91
South Carolina	01/11/2020	4,629	01/04/2020	21,587	2,077,535	1.04
South Carolina	01/18/2020	3,126	01/11/2020	18,780	2,077,535	0.90
South Carolina	01/25/2020	2,248	01/18/2020	17,113	2,077,535	0.82
South Carolina	02/01/2020	2,099	01/25/2020	17,061	2,077,535	0.82
South Carolina	02/08/2020	2,054	02/01/2020	16,669	2,077,535	0.80
South Carolina	02/15/2020	2,088	02/08/2020	16,547	2,077,535	0.80
South Carolina	02/22/2020	1,824	02/15/2020	16,239	2,077,535	0.78
South Carolina	02/29/2020	1,977	02/22/2020	15,779	2,077,535	0.76
South Carolina	03/07/2020	1,889	02/29/2020	15,341	2,077,535	0.74
South Carolina	03/14/2020	2,093	03/07/2020	15,032	2,077,535	0.72
South Carolina	03/21/2020	31,826	03/14/2020	15,111	2,077,535	0.73
South Carolina	03/28/2020	66,475	03/21/2020	30,341	2,077,535	1.46
South Carolina	04/04/2020	86,573	03/28/2020	75,521	2,077,535	3.64
South Carolina	04/11/2020	89,147	04/04/2020	126,994	2,087,060	6.08
South Carolina	04/18/2020	74,362	04/11/2020	179,769	2,087,060	8.61
South Carolina	04/25/2020	66,438	04/18/2020	240,956	2,087,060	11.55
South Carolina	05/02/2020	47,673	04/25/2020	260,409	2,087,060	12.48
South Carolina	05/09/2020	33,191	05/02/2020	268,701	2,087,060	12.87
South Carolina	05/16/2020	29,899	05/09/2020	256,676	2,087,060	12.30
South Carolina	05/23/2020	25,380	05/16/2020	241,793	2,087,060	11.59
South Carolina	05/30/2020	18,910	05/23/2020	214,814	2,087,060	10.29
South Carolina	06/06/2020	23,188	05/30/2020	212,570	2,087,060	10.19
South Carolina	06/13/2020	19,853	06/06/2020	200,903	2,087,060	9.63
South Carolina	06/20/2020	17,611	06/13/2020	198,224	2,087,060	9.50
South Carolina	06/27/2020	17,654	06/20/2020	197,125	2,087,060	9.45
South Carolina	07/04/2020	16,015	06/27/2020	187,282	2,087,060	8.97
South Carolina	07/11/2020	19,272	07/04/2020	201,097	2,093,284	9.61
South Dakota	01/04/2020	398	12/28/2019	2,798	416,296	0.67
South Dakota	01/11/2020	468	01/04/2020	2,970	417,030	0.71
South Dakota	01/18/2020	338	01/11/2020	2,995	417,030	0.72
South Dakota	01/25/2020	291	01/18/2020	3,071	417,030	0.74
South Dakota	02/01/2020	217	01/25/2020	3,155	417,030	0.76
South Dakota	02/08/2020	223	02/01/2020	3,117	417,030	0.75
South Dakota	02/15/2020	194	02/08/2020	3,196	417,030	0.77
South Dakota	02/22/2020	191	02/15/2020	3,164	417,030	0.76
South Dakota	02/29/2020	159	02/22/2020	3,116	417,030	0.75
South Dakota	03/07/2020	185	02/29/2020	3,059	417,030	0.73
South Dakota	03/14/2020	190	03/07/2020	2,870	417,030	0.69
South Dakota	03/21/2020	1,761	03/14/2020	2,674	417,030	0.64
South Dakota	03/28/2020	6,801	03/21/2020	3,538	417,030	0.85
South Dakota	04/04/2020	8,138	03/28/2020	7,568	417,030	1.81
South Dakota	04/11/2020	6,359	04/04/2020	14,431	417,997	3.45
South Dakota	04/18/2020	5,295	04/11/2020	19,664	417,997	4.70
South Dakota	04/25/2020	5,535	04/18/2020	22,707	417,997	5.43
South Dakota	05/02/2020	3,929	04/25/2020	23,791	417,997	5.69
South Dakota	05/09/2020	5,269	05/02/2020	23,388	417,997	5.60
South Dakota	05/16/2020	3,891	05/09/2020	25,186	417,997	6.03
South Dakota	05/23/2020	3,471	05/16/2020	22,454	417,997	5.37
South Dakota	05/30/2020	1,498	05/23/2020	19,629	417,997	4.70
South Dakota	06/06/2020	880	05/30/2020	20,573	417,997	4.92
South Dakota	06/13/2020	1,065	06/06/2020	18,649	417,997	4.46
South Dakota	06/20/2020	910	06/13/2020	17,163	417,997	4.11
South Dakota	06/27/2020	644	06/20/2020	17,142	417,997	4.10
South Dakota	07/04/2020	835	06/27/2020	15,942	417,997	3.81
South Dakota	07/11/2020	1,216	07/04/2020	18,722	418,749	4.47
Tennessee	01/04/2020	3,084	12/28/2019	22,163	3,250,062	0.68
Tennessee	01/11/2020	3,711	01/04/2020	22,398	3,263,988	0.69
Tennessee	01/18/2020	3,093	01/11/2020	20,441	3,263,988	0.63
Tennessee	01/25/2020	2,484	01/18/2020	20,786	3,263,988	0.64
Tennessee	02/01/2020	2,362	01/25/2020	21,364	3,263,988	0.65
Tennessee	02/08/2020	2,161	02/01/2020	20,670	3,263,988	0.63
Tennessee	02/15/2020	2,140	02/08/2020	20,485	3,263,988	0.63
Tennessee	02/22/2020	1,855	02/15/2020	20,139	3,263,988	0.62
Tennessee	02/29/2020	2,014	02/22/2020	20,413	3,263,988	0.63
Tennessee	03/07/2020	2,032	02/29/2020	19,035	3,263,988	0.58
Tennessee	03/14/2020	2,702	03/07/2020	18,450	3,263,988	0.57
Tennessee	03/21/2020	38,077	03/14/2020	18,350	3,263,988	0.56
Tennessee	03/28/2020	92,500	03/21/2020	37,541	3,263,988	1.15
Tennessee	04/04/2020	112,186	03/28/2020	116,179	3,263,988	3.56
Tennessee	04/11/2020	71,887	04/04/2020	206,472	3,278,927	6.30
Tennessee	04/18/2020	67,226	04/11/2020	279,895	3,278,927	8.54
Tennessee	04/25/2020	42,805	04/18/2020	341,033	3,278,927	10.40
Tennessee	05/02/2020	36,323	04/25/2020	340,249	3,278,927	10.38
Tennessee	05/09/2020	28,377	05/02/2020	343,212	3,278,927	10.47
Tennessee	05/16/2020	27,990	05/09/2020	332,745	3,278,927	10.15
Tennessee	05/23/2020	25,439	05/16/2020	327,768	3,278,927	10.00
Tennessee	05/30/2020	22,255	05/23/2020	322,117	3,278,927	9.82
Tennessee	06/06/2020	20,908	05/30/2020	310,065	3,278,927	9.46
Tennessee	06/13/2020	19,413	06/06/2020	297,873	3,278,927	9.08
Tennessee	06/20/2020	20,506	06/13/2020	283,631	3,278,927	8.65
Tennessee	06/27/2020	21,544	06/20/2020	279,199	3,278,927	8.51
Tennessee	07/04/2020	24,920	06/27/2020	273,815	3,278,927	8.35
Tennessee	07/11/2020	22,060	07/04/2020	268,220	3,310,273	8.10
Texas	01/04/2020	12,367	12/28/2019	141,473	12,168,097	1.16
Texas	01/11/2020	21,902	01/04/2020	140,768	12,236,594	1.15
Texas	01/18/2020	15,783	01/11/2020	145,126	12,236,594	1.19
Texas	01/25/2020	13,070	01/18/2020	132,656	12,236,594	1.08
Texas	02/01/2020	13,818	01/25/2020	140,826	12,236,594	1.15
Texas	02/08/2020	13,869	02/01/2020	128,666	12,236,594	1.05
Texas	02/15/2020	12,790	02/08/2020	133,475	12,236,594	1.09
Texas	02/22/2020	12,047	02/15/2020	127,275	12,236,594	1.04
Texas	02/29/2020	12,692	02/22/2020	133,247	12,236,594	1.09
Texas	03/07/2020	14,355	02/29/2020	125,252	12,236,594	1.02
Texas	03/14/2020	16,176	03/07/2020	127,905	12,236,594	1.05
Texas	03/21/2020	155,426	03/14/2020	126,427	12,236,594	1.03
Texas	03/28/2020	276,185	03/21/2020	144,697	12,236,594	1.18
Texas	04/04/2020	315,167	03/28/2020	374,656	12,236,594	3.06
Texas	04/11/2020	274,257	04/04/2020	632,470	12,304,547	5.14
Texas	04/18/2020	280,761	04/11/2020	911,923	12,304,547	7.41
Texas	04/25/2020	254,084	04/18/2020	962,122	12,304,547	7.82
Texas	05/02/2020	243,935	04/25/2020	1,133,324	12,304,547	9.21
Texas	05/09/2020	141,553	05/02/2020	1,181,609	12,304,547	9.60
Texas	05/16/2020	134,065	05/09/2020	1,300,576	12,304,547	10.57
Texas	05/23/2020	127,717	05/16/2020	1,272,557	12,304,547	10.34
Texas	05/30/2020	106,677	05/23/2020	1,401,773	12,304,547	11.39
Texas	06/06/2020	89,676	05/30/2020	1,215,507	12,304,547	9.88
Texas	06/13/2020	94,723	06/06/2020	1,297,296	12,304,547	10.54
Texas	06/20/2020	89,547	06/13/2020	1,221,813	12,304,547	9.93
Texas	06/27/2020	96,593	06/20/2020	1,301,714	12,304,547	10.58
Texas	07/04/2020	117,099	06/27/2020	1,237,931	12,304,547	10.06
Texas	07/11/2020	105,516	07/04/2020	1,313,086	12,372,188	10.61
Utah	01/04/2020	1,518	12/28/2019	11,328	1,454,279	0.78
Utah	01/11/2020	1,834	01/04/2020	11,787	1,459,679	0.81
Utah	01/18/2020	1,458	01/11/2020	12,061	1,459,679	0.83
Utah	01/25/2020	1,271	01/18/2020	12,061	1,459,679	0.83
Utah	02/01/2020	1,290	01/25/2020	11,872	1,459,679	0.81
Utah	02/08/2020	1,303	02/01/2020	12,187	1,459,679	0.83
Utah	02/15/2020	1,097	02/08/2020	12,131	1,459,679	0.83
Utah	02/22/2020	1,008	02/15/2020	11,960	1,459,679	0.82
Utah	02/29/2020	885	02/22/2020	11,451	1,459,679	0.78
Utah	03/07/2020	1,015	02/29/2020	11,077	1,459,679	0.76
Utah	03/14/2020	1,305	03/07/2020	10,701	1,459,679	0.73
Utah	03/21/2020	19,690	03/14/2020	10,826	1,459,679	0.74
Utah	03/28/2020	28,532	03/21/2020	24,635	1,459,679	1.69
Utah	04/04/2020	33,040	03/28/2020	45,161	1,459,679	3.09
Utah	04/11/2020	24,515	04/04/2020	72,798	1,474,336	4.94
Utah	04/18/2020	19,649	04/11/2020	88,281	1,474,336	5.99
Utah	04/25/2020	11,738	04/18/2020	89,495	1,474,336	6.07
Utah	05/02/2020	8,992	04/25/2020	92,872	1,474,336	6.30
Utah	05/09/2020	7,076	05/02/2020	91,591	1,474,336	6.21
Utah	05/16/2020	6,228	05/09/2020	86,298	1,474,336	5.85
Utah	05/23/2020	5,405	05/16/2020	82,054	1,474,336	5.57
Utah	05/30/2020	4,948	05/23/2020	79,316	1,474,336	5.38
Utah	06/06/2020	5,382	05/30/2020	78,145	1,474,336	5.30
Utah	06/13/2020	4,803	06/06/2020	75,383	1,474,336	5.11
Utah	06/20/2020	4,915	06/13/2020	73,619	1,474,336	4.99
Utah	06/27/2020	4,965	06/20/2020	72,216	1,474,336	4.90
Utah	07/04/2020	4,802	06/27/2020	70,639	1,474,336	4.79
Utah	07/11/2020	4,792	07/04/2020	69,999	1,483,888	4.72
Vermont	01/04/2020	680	12/28/2019	5,417	303,175	1.79
Vermont	01/11/2020	649	01/04/2020	5,609	303,508	1.85
Vermont	01/18/2020	755	01/11/2020	4,961	303,508	1.63
Vermont	01/25/2020	518	01/18/2020	4,986	303,508	1.64
Vermont	02/01/2020	481	01/25/2020	5,006	303,508	1.65
Vermont	02/08/2020	475	02/01/2020	4,824	303,508	1.59
Vermont	02/15/2020	543	02/08/2020	4,931	303,508	1.62
Vermont	02/22/2020	610	02/15/2020	4,872	303,508	1.61
Vermont	02/29/2020	863	02/22/2020	5,039	303,508	1.66
Vermont	03/07/2020	446	02/29/2020	5,219	303,508	1.72
Vermont	03/14/2020	659	03/07/2020	4,896	303,508	1.61
Vermont	03/21/2020	3,784	03/14/2020	4,810	303,508	1.58
Vermont	03/28/2020	14,633	03/21/2020	13,797	303,508	4.55
Vermont	04/04/2020	16,474	03/28/2020	21,953	303,508	7.23
Vermont	04/11/2020	9,662	04/04/2020	31,204	303,379	10.29
Vermont	04/18/2020	6,598	04/11/2020	64,313	303,379	21.20
Vermont	04/25/2020	5,117	04/18/2020	76,457	303,379	25.20
Vermont	05/02/2020	3,875	04/25/2020	60,535	303,379	19.95
Vermont	05/09/2020	2,913	05/02/2020	57,040	303,379	18.80
Vermont	05/16/2020	2,199	05/09/2020	55,103	303,379	18.16
Vermont	05/23/2020	1,552	05/16/2020	50,285	303,379	16.57
Vermont	05/30/2020	1,465	05/23/2020	46,316	303,379	15.27
Vermont	06/06/2020	1,650	05/30/2020	45,207	303,379	14.90
Vermont	06/13/2020	1,859	06/06/2020	43,338	303,379	14.29
Vermont	06/20/2020	1,389	06/13/2020	42,681	303,379	14.07
Vermont	06/27/2020	2,163	06/20/2020	42,420	303,379	13.98
Vermont	07/04/2020	1,876	06/27/2020	39,089	303,379	12.88
Vermont	07/11/2020	1,830	07/04/2020	38,335	303,295	12.64
Virgin Islands	01/04/2020	10	12/28/2019	468	33,306	1.41
Virgin Islands	01/11/2020	24	01/04/2020	534	34,238	1.56
Virgin Islands	01/18/2020	40	01/11/2020	562	34,238	1.64
Virgin Islands	01/25/2020	44	01/18/2020	552	34,238	1.61
Virgin Islands	02/01/2020	35	01/25/2020	516	34,238	1.51
Virgin Islands	02/08/2020	45	02/01/2020	522	34,238	1.52
Virgin Islands	02/15/2020	40	02/08/2020	508	34,238	1.48
Virgin Islands	02/22/2020	55	02/15/2020	508	34,238	1.48
Virgin Islands	02/29/2020	37	02/22/2020	562	34,238	1.64
Virgin Islands	03/07/2020	64	02/29/2020	586	34,238	1.71
Virgin Islands	03/14/2020	44	03/07/2020	592	34,238	1.73
Virgin Islands	03/21/2020	123	03/14/2020	584	34,238	1.71
Virgin Islands	03/28/2020	250	03/21/2020	512	34,238	1.50
Virgin Islands	04/04/2020	72	03/28/2020	658	34,238	1.92
Virgin Islands	04/11/2020	6	04/04/2020	776	35,422	2.19
Virgin Islands	04/18/2020	13	04/11/2020	1,322	35,422	3.73
Virgin Islands	04/25/2020	103	04/18/2020	1,468	35,422	4.14
Virgin Islands	05/02/2020	45	04/25/2020	1,882	35,422	5.31
Virgin Islands	05/09/2020	70	05/02/2020	2,812	35,422	7.94
Virgin Islands	05/16/2020	66	05/09/2020	3,572	35,422	10.08
Virgin Islands	05/23/2020	47	05/16/2020	4,534	35,422	12.80
Virgin Islands	05/30/2020	32	05/23/2020	4,642	35,422	13.10
Virgin Islands	06/06/2020	32	05/30/2020	5,564	35,422	15.71
Virgin Islands	06/13/2020	53	06/06/2020	5,734	35,422	16.19
Virgin Islands	06/20/2020	63	06/13/2020	6,294	35,422	17.77
Virgin Islands	06/27/2020	57	06/20/2020	6,194	35,422	17.49
Virgin Islands	07/04/2020	38	06/27/2020	4,638	35,422	13.09
Virgin Islands	07/11/2020	70	07/04/2020	5,574	36,677	15.20
Virginia	01/04/2020	3,188	12/28/2019	22,171	3,722,198	0.60
Virginia	01/11/2020	3,643	01/04/2020	23,577	3,731,069	0.63
Virginia	01/18/2020	2,831	01/11/2020	22,218	3,731,069	0.60
